formula, is_taut_can
~(p -> (q -> (r -> (~((((~((s -> t) -> ~u) -> v) -> q) -> ~p) -> r) -> t)))) -> (q -> q), True
(p -> ~q) -> (q -> (r -> ((~p -> ~((~(((s -> t) -> (s -> u)) -> v) -> p) -> r)) -> ~t))), True
~((p -> (q -> (~((r -> s) -> ~~q) -> t))) -> ((~~(s -> r) -> ~~~(u -> v)) -> s)), False
((((p -> q) -> (r -> s)) -> ~r) -> ~p) -> ~~(q -> (~s -> (t -> (~~(u -> u) -> v)))), False
(p -> q) -> (r -> ~(((((s -> t) -> (~((q -> u) -> u) -> u)) -> ~v) -> ((t -> t) -> p)) -> v)), False
(p -> (q -> ~~(r -> ((~s -> ((s -> q) -> t)) -> (u -> ((p -> ~v) -> q)))))) -> (~u -> q), False
((~~((p -> (q -> r)) -> s) -> (r -> ((~s -> t) -> ~p))) -> (s -> ~t)) -> ~(u -> ~v), False
(((p -> q) -> (~(r -> s) -> (s -> (~~t -> ~s)))) -> (u -> q)) -> ((~~~r -> v) -> t), False
~((p -> ~((q -> ~((r -> p) -> (q -> (s -> q)))) -> q)) -> t) -> (u -> ~((~u -> v) -> p)), False
p -> (((q -> (((~((r -> r) -> s) -> ~(((t -> ~t) -> ~~u) -> v)) -> r) -> u)) -> t) -> u), False
(((p -> ((q -> (~(q -> r) -> s)) -> s)) -> t) -> s) -> ((((u -> ~(t -> s)) -> ~p) -> q) -> v), False
(((p -> ((q -> r) -> ~~((~~q -> s) -> (q -> ~q)))) -> (~(p -> t) -> u)) -> v) -> ~u, False
p -> ~((q -> (r -> q)) -> (((~~s -> t) -> ~(r -> t)) -> ((u -> ~(t -> (v -> u))) -> s))), False
~((p -> (q -> (r -> (((~s -> s) -> ~t) -> (r -> ~q))))) -> (s -> ~((u -> ~~v) -> s))), False
((p -> (((~p -> p) -> (q -> r)) -> (q -> (((s -> (t -> p)) -> t) -> p)))) -> ((u -> q) -> t)) -> v, False
((((~p -> q) -> p) -> (r -> (s -> s))) -> (t -> (~(u -> (q -> ~~u)) -> (~t -> v)))) -> r, False
~(((p -> (~(q -> ((r -> s) -> ((s -> (q -> q)) -> ((r -> t) -> u)))) -> q)) -> (v -> ~q)) -> v), False
p -> ((q -> r) -> (~~((s -> s) -> r) -> (((r -> t) -> t) -> (s -> (u -> (v -> ~(v -> u))))))), False
(((p -> (q -> (~r -> q))) -> (s -> t)) -> (s -> (r -> u))) -> ((~(v -> t) -> (p -> t)) -> ~u), False
~(p -> ((~(q -> ~r) -> (s -> ~((s -> t) -> ((u -> (t -> p)) -> ~q)))) -> q)) -> (v -> u), False
p -> (q -> ((p -> r) -> (((s -> ~(t -> u)) -> (v -> ((q -> ((u -> ~~r) -> r)) -> q))) -> r))), True
~(~p -> ((~((((q -> q) -> (~r -> q)) -> s) -> s) -> t) -> ((r -> u) -> (v -> (p -> ~q))))), False
p -> (((q -> ~(((r -> s) -> (s -> (s -> s))) -> ((~r -> t) -> (~(t -> t) -> u)))) -> p) -> v), False
p -> ((q -> (~r -> ~~(~((s -> (r -> ((t -> u) -> (t -> q)))) -> v) -> ~q))) -> (s -> r)), False
(((p -> p) -> ((((q -> r) -> s) -> (s -> r)) -> (((t -> u) -> p) -> (t -> ~(v -> q))))) -> u) -> v, False
((~((p -> (~q -> r)) -> ~q) -> (q -> ((s -> ~(p -> (t -> t))) -> (r -> u)))) -> u) -> ~v, False
~p -> (q -> (r -> (((((~~(s -> q) -> t) -> s) -> (q -> p)) -> (u -> (p -> p))) -> (t -> v)))), False
((p -> q) -> (~(~r -> s) -> ((t -> (~u -> ~r)) -> s))) -> (~((q -> ~v) -> ~r) -> r), True
(p -> p) -> (~~((p -> ((~p -> ((q -> (r -> q)) -> r)) -> (s -> t))) -> (t -> (u -> v))) -> u), False
~(~p -> (q -> ((q -> (r -> ((s -> (r -> (r -> (t -> u)))) -> v))) -> ~(s -> (~~t -> v))))), False
~(p -> (((q -> r) -> (s -> ~(((r -> (t -> u)) -> (v -> q)) -> ~s))) -> ~((~t -> r) -> p))), False
(((p -> ((q -> ~~((r -> ~~q) -> (~~~s -> t))) -> u)) -> ~v) -> t) -> (~v -> p), False
(((p -> ~((((q -> ((((p -> r) -> s) -> t) -> t)) -> (u -> (v -> u))) -> p) -> u)) -> p) -> p) -> v, False
(~~(p -> (((q -> (r -> ~((s -> r) -> t))) -> q) -> r)) -> u) -> ~~((v -> r) -> (r -> s)), False
p -> (~(((p -> ((q -> r) -> s)) -> ((t -> (u -> v)) -> (q -> r))) -> r) -> ((r -> v) -> ~~q)), False
(p -> ((q -> (p -> (p -> (p -> ~~((r -> (~(s -> s) -> t)) -> u))))) -> (t -> (q -> v)))) -> v, False
~(p -> (((((q -> r) -> s) -> t) -> s) -> ((t -> (u -> (t -> ((r -> p) -> (~~v -> r))))) -> v))), False
~(p -> ((~((q -> ~p) -> ((r -> ~~s) -> (~(t -> ~u) -> ((v -> s) -> r)))) -> s) -> s)), False
((~p -> q) -> ((((r -> (s -> t)) -> t) -> u) -> t)) -> ~~(~~(v -> ((t -> u) -> t)) -> r), False
